Day,Stock Price,Balance,Porfolio,Total Value,Current Stock Percentage,Trade Action,Trade Amount,Trade Ratio
1,$13788.33,$1000000.00,$0.0,$1000000.00,0.00%,Hold,$0.00,0.00%
2,$13631.05,$1000000.00,$0.0,$1000000.00,0.00%,Hold,$0.00,0.00%
3,$13474.63,$1000000.00,$0.0,$1000000.00,0.00%,Hold,$0.00,0.00%
4,$13316.93,$0.00,$1000000.0,$1000000.00,0.00%,Buy,$1000000.00,100.00%
5,$13290.78,$0.00,$998036.3781535134,$998036.38,100.00%,Hold,$0.00,0.00%
6,$13497.59,$0.00,$1013566.2018565419,$1013566.20,100.00%,Hold,$0.00,0.00%
7,$13505.87,$0.00,$1014187.9873305068,$1014187.99,100.00%,Hold,$0.00,0.00%
8,$13721.03,$0.00,$1030344.8764407617,$1030344.88,100.00%,Hold,$0.00,0.00%
9,$13463.97,$0.00,$1011041.5871010057,$1011041.59,100.00%,Hold,$0.00,0.00%
10,$13590.65,$0.00,$1020554.34019314,$1020554.34,100.00%,Hold,$0.00,0.00%
11,$13705.13,$0.00,$1029150.8781995663,$1029150.88,100.00%,Hold,$0.00,0.00%
12,$13943.76,$0.00,$1047070.165033114,$1047070.17,100.00%,Hold,$0.00,0.00%
13,$14019.31,$0.00,$1052743.3799903435,$1052743.38,100.00%,Hold,$0.00,0.00%
14,$14034.97,$0.00,$1053919.3384595618,$1053919.34,100.00%,Hold,$0.00,0.00%
15,$14031.81,$0.00,$1053682.0347924135,$1053682.03,100.00%,Hold,$0.00,0.00%
16,$14020.95,$0.00,$1052866.5784331153,$1052866.58,100.00%,Hold,$0.00,0.00%
17,$13872.47,$1041716.83,$0.0,$1041716.83,100.00%,Sell,$1041716.83,100.00%
18,$13748.83,$1041716.83,$0.0,$1041716.83,0.00%,Hold,$0.00,0.00%
19,$13761.53,$584660.69,$457056.13426242163,$1041716.83,0.00%,Buy,$457056.13,43.88%
20,$13917.89,$473306.72,$573603.207675948,$1046909.93,44.15%,Buy,$111353.97,10.64%
21,$13773.61,$647342.16,$393621.52873854525,$1040963.69,54.53%,Sell,$174035.44,16.72%
22,$13813.59,$695916.35,$346189.8739405032,$1042106.22,37.88%,Sell,$48574.19,4.66%
23,$13926.05,$1044924.64,$0.0,$1044924.64,33.40%,Sell,$349008.29,33.40%
24,$13708.33,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
25,$13710.24,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
26,$13678.19,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
27,$13469.13,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
28,$13223.98,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
29,$13211.81,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
30,$13271.32,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
31,$13063.61,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
32,$13092.85,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
33,$13201.28,$1044924.64,$0.0,$1044924.64,0.00%,Hold,$0.00,0.00%
34,$13219.32,$0.00,$1044924.6418724401,$1044924.64,0.00%,Buy,$1044924.64,100.00%
35,$13307.77,$0.00,$1051916.13357106,$1051916.13,100.00%,Hold,$0.00,0.00%
36,$13059.47,$0.00,$1032289.2103740522,$1032289.21,100.00%,Hold,$0.00,0.00%
37,$13236.01,$0.00,$1046243.8640727825,$1046243.86,100.00%,Hold,$0.00,0.00%
38,$13219.83,$0.00,$1044964.9364299929,$1044964.94,100.00%,Hold,$0.00,0.00%
39,$13431.34,$1061683.78,$0.0,$1061683.78,100.00%,Sell,$1061683.78,100.00%
40,$13484.24,$1061683.78,$0.0,$1061683.78,0.00%,Hold,$0.00,0.00%
